,Dataset,Column,Algorithm,Comparisons,deletions_val_distStatic,runs_val_distStatic,deletions_comp_distStatic,runs_comp_distStatic,arr_len,introsort,insertion_sort,merge_sort,timsort,quick_sort,selection_sort
1463,only_road_accidents_data_month2,JANUARY,merge_sort,4388,29,16,128,39,490,1000000000,55384,4388,5315,1000000000,1000000000
1464,only_road_accidents_data_month2,FEBRUARY,merge_sort,4388,28,18,123,39,490,1000000000,55393,4388,5342,1000000000,1000000000
1465,only_road_accidents_data_month2,MARCH,merge_sort,4388,27,16,128,39,490,1000000000,55228,4388,5311,1000000000,1000000000
1466,only_road_accidents_data_month2,APRIL,merge_sort,4388,29,16,125,39,490,1000000000,55484,4388,5284,1000000000,1000000000
1467,only_road_accidents_data_month2,MAY,merge_sort,4388,28,16,128,39,490,1000000000,55591,4388,5386,1000000000,1000000000
1468,only_road_accidents_data_month2,JUNE,merge_sort,4388,29,15,128,39,490,1000000000,55263,4388,5402,1000000000,1000000000
1469,only_road_accidents_data_month2,JULY,merge_sort,4388,26,15,132,39,490,1000000000,55165,4388,5352,1000000000,1000000000
1470,only_road_accidents_data_month2,AUGUST,merge_sort,4388,28,17,125,39,490,1000000000,55504,4388,5416,1000000000,1000000000
1471,only_road_accidents_data_month2,SEPTEMBER,merge_sort,4388,28,16,127,39,490,1000000000,55579,4388,5440,1000000000,1000000000
1472,only_road_accidents_data_month2,OCTOBER,merge_sort,4388,27,15,134,39,490,1000000000,55527,4388,5375,1000000000,1000000000
1473,only_road_accidents_data_month2,NOVEMBER,merge_sort,4388,28,18,125,39,490,1000000000,55327,4388,5367,1000000000,1000000000
1474,only_road_accidents_data_month2,DECEMBER,merge_sort,4388,29,16,131,39,490,1000000000,55502,4388,5369,1000000000,1000000000
1475,only_road_accidents_data_month2,TOTAL,merge_sort,4388,28,17,127,39,490,1000000000,55497,4388,5414,1000000000,1000000000
1476,KernelVersionDatasetSources,Id,merge_sort,133616,30,19,132,39,10000,1000000000,26279942,133616,149510,1000000000,1000000000
1477,KernelVersionDatasetSources,KernelVersionId,merge_sort,133616,24,17,123,39,10000,1000000000,17477396,133616,157205,1000000000,1000000000
1478,KernelVersionDatasetSources,SourceDatasetVersionId,timsort,113001,30,12,122,39,10000,1000000000,21901880,133616,113001,1000000000,1000000000
1479,top_600_youtube_videos_2023,view_count,merge_sort,5433,38,36,81,39,587,1000000000,168856,5433,8145,1000000000,1000000000
1480,top_600_youtube_videos_2023,like_count,merge_sort,5433,35,20,111,39,587,1000000000,136563,5433,6176,1000000000,1000000000
1481,top_600_youtube_videos_2023,comment_count,merge_sort,5433,34,20,126,39,587,1000000000,119174,5433,6069,1000000000,1000000000
1482,submission,ForecastId,insertion_sort,9999,0,0,39,39,10000,1000000000,9999,133616,99500,1000000000,1000000000
1483,submission,ConfirmedCases,timsort,110718,30,7,135,39,10000,1000000000,24149504,133616,110718,1000000000,1000000000
1484,submission,Fatalities,timsort,104419,24,3,123,39,10000,1000000000,15841271,133616,104419,1000000000,1000000000
1485,abalone.data,0.455,timsort,45731,27,18,127,39,4176,1000000000,3999676,50272,45731,1000000000,1000000000
1486,abalone.data,0.365,timsort,49402,28,19,126,39,4176,1000000000,4037895,50272,49402,1000000000,1000000000
1487,abalone.data,0.095,merge_sort,50272,29,19,131,39,4176,1000000000,4033995,50272,50907,1000000000,1000000000
1488,abalone.data,0.514,merge_sort,50272,28,17,121,39,4176,1000000000,4106636,50272,50483,1000000000,1000000000
1489,abalone.data,0.2245,merge_sort,50272,27,17,124,39,4176,1000000000,4039782,50272,51278,1000000000,1000000000
1490,abalone.data,0.101,merge_sort,50272,27,19,127,39,4176,1000000000,4110684,50272,51147,1000000000,1000000000
1491,abalone.data,0.15,merge_sort,50272,29,20,131,39,4176,1000000000,4145267,50272,50624,1000000000,1000000000
1492,abalone.data,15,timsort,50118,32,16,130,39,4176,1000000000,4039255,50272,50118,1000000000,1000000000
1493,Submissions,Id,merge_sort,133616,30,20,118,39,10000,1000000000,25681647,133616,148371,1000000000,1000000000
1494,Submissions,SubmittedUserId,timsort,132102,30,17,123,39,10000,1000000000,25889375,133616,132102,1000000000,1000000000
1495,Submissions,TeamId,timsort,123009,24,12,103,39,10000,1000000000,26412760,133616,123009,1000000000,1000000000
1496,Submissions,SourceKernelVersionId,merge_sort,133616,30,18,122,39,10000,1000000000,25712192,133616,146745,1000000000,1000000000
1497,Submissions,IsAfterDeadline,timsort,101731,35,2,108,39,10000,1000000000,1931516,133616,101731,1000000000,1000000000
1498,Submissions,PublicScoreLeaderboardDisplay,merge_sort,133616,25,19,106,39,10000,1000000000,22593074,133616,144203,1000000000,1000000000
1499,Submissions,PublicScoreFullPrecision,merge_sort,133616,25,19,106,39,10000,1000000000,22597613,133616,144505,1000000000,1000000000
1500,Submissions,PrivateScoreLeaderboardDisplay,merge_sort,133616,25,19,107,39,10000,1000000000,22598750,133616,143679,1000000000,1000000000
1501,Submissions,PrivateScoreFullPrecision,merge_sort,133616,25,19,107,39,10000,1000000000,22627850,133616,144326,1000000000,1000000000
1502,osteoporosis,Id,merge_sort,21448,31,17,129,39,1958,1000000000,939114,21448,28277,1000000000,1000000000
1503,osteoporosis,Age,merge_sort,21448,33,20,129,39,1958,1000000000,1308693,21448,27493,1000000000,1000000000
1504,osteoporosis,Osteoporosis,timsort,13876,20,1,119,39,1958,1000000000,960398,21448,13876,1000000000,1000000000
1505,X,MSSubClass,merge_sort,15472,34,16,120,39,1460,1000000000,421288,15472,16470,1000000000,1000000000
1506,X,MSZoning,timsort,13016,20,4,117,39,1460,1000000000,195933,15472,13016,1000000000,1000000000
1507,X,LotFrontage,merge_sort,15472,32,21,130,39,1460,1000000000,525423,15472,18103,1000000000,1000000000
1508,X,LotArea,merge_sort,15472,31,20,127,39,1460,1000000000,535098,15472,18304,1000000000,1000000000
1509,X,Alley,timsort,11343,35,2,109,39,1460,1000000000,79399,15472,11343,1000000000,1000000000
1510,X,LotShape,timsort,13926,13,12,80,39,1460,1000000000,252550,15472,13926,1000000000,1000000000
1511,X,LandContour,timsort,11702,4,4,56,39,1460,1000000000,105815,15472,11702,1000000000,1000000000
1512,X,LotConfig,timsort,13703,15,13,87,39,1460,1000000000,224604,15472,13703,1000000000,1000000000
